FW: As-Is Discussion: Demand\Inventory Planning for Drilling Chemicals and Well Tie 
mar, 1 de oct de 2024

5:18 - Mohamad Fakhouri (ADNOC Group D&CS) Hi, everyone. Bye again.
49:31 - Mohamad Fakhouri (ADNOC Group D&CS) Thank you.

49:35 - Mohamad Fakhouri (ADNOC Group D&CS) Yeah, I think, yeah, covered the gist of it. Okay. Team, from my end, I don't have any further questions. So, thanks so much for walking us through the process. Or actually the processes. So next step, I guess, this concludes the Aziz workshops. We're gathering all this information and documenting the decisions. Then next week, we will start the design phase.

50:19 - Mohamad Fakhouri (ADNOC Group D&CS) From the team, Do you have any questions?

50:25 - Mohammed Ashic (ADNOC Onshore - PD) That's OK. Thank you.

50:29 - Mohamad Fakhouri (ADNOC Group D&CS) Well, then, thank you, everyone. All right.

50:31 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Thanks, everyone.

50:32 - Rahul Patel (ADNOC Group D&CS) Thank you. Thank you. Thanks, everyone. Yeah.
