AIPO: Well Tie-In Discussion 
mar, 26 de nov de 2024

0:01 - Unidentified Speaker little lazy. Okay.
43:52 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) They don't want to link it to DWS. They will set up a lot of material in SAP. Itself. If it is this type of well, so it will require this list of materials and this is the quantity.

44:06 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) So what is the quantity where it come from Conversion wells, where it will come from It will not be there in the database, right?

44:17 - Khalid Sarfaraz (ADNOC Group D&CS) The conversion wells. Quantity means quantity of materials. No, even the type of number, number of wells, number of wells.

44:25 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Well, the number of wells is there linked to DWS only. Then only you can get the quantity, right? If number of wells is not shown in the DWS, the conversion wells it because it's an existing well, right?

44:39 - Unidentified Speaker It might have been drilled for five years back.

44:43 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) How will you get the quantity of the number of wells are not there in the DWS? Will show only the new wells coming. Going to be coming in the next three years. An existing well that has to be digitalized. There are like 100 wells that has to be digitalized in BAP. It will not show in the DWS.

45:05 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) No, no, here we are not talking about linking to DWS. So for example, if you know the number of wells and type of the well, OK in the IBP itself, they will have a bill of material. Let's say if you know, OK, I I plan for 50 in the next year. If you put the 50 then it will give you the basket of materials which is related to oil wells related to and the quantity along with the quantity.

45:33 - Unidentified Speaker OK.

45:34 - Rahul Patel (ADNOC Group D&CS) Then I then I verify it.

45:36 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Then I will add it manually. Whatever required for the positive message is saying this is what you're also doing or shaking. I have to verify it right again. The quantity. My level added what I'm saying that what I within like 1015 minutes. You're saying that you download it from somewhere. Then I have verified the quality. Then I added manually and then send back. It is extra time only, not just for this case of automating automation.

46:01 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) You have to implement it. That's what I'm saying. So you want to put the percentage also here like how you forecast like 40% 50% then derive the quantities.

46:10 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) But every time I had to change the percentages also, right? I have to again verify this forecast, right?

46:15 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) We are. We are. I mean how the IP IP people will help you to reduce your manual work. You know whatever the customization on how you do currently. If you can explain to them they can build the same in the IP itself, you know.

46:30 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) I don't understand how it is going to reduce my work. It's like when I say the manual you're saying it is taking like in 10 to 15 minutes of Yeah, I don't know what you're saying about now. Manual work which is going to be.

46:45 - Khalid Sarfaraz (ADNOC Group D&CS) Let's not conclude that. Yeah, let them design, come up with the design and build and then we can based on that you can make a decision later. But let them propose something. Maybe something you will find it. Yeah, but something is important.

46:59 - Hector Palacios (ADNOC Group D&CS) What we are mentioning here. Usually when we want to automate automate is because we have pain points. I'm not hearing a pain point here and based on what she is saying. Usually a pain point is saying that your eyes is very bad. Doing it manually and the accuracy is very bad. Here I am hearing that 80 percent of what we are saying is being consumed, so I guess that the accuracy is not bad. Then the other pain point is maybe the accuracy is not bad, but I'm not able to forecast all that I have. It's too much. Then I need to automate and some weight. I also not hearing that, so I don't want to force a solution in something that is working fine.

47:39 - Bastian Osorio Just to complement what you're saying, Hector, maybe lack of visibility. Just working for the next year and maybe IVP can help you to have a longer visibility. I think he's working for the next three years.

47:55 - Hector Palacios (ADNOC Group D&CS) Yeah, just giving ideas of possible pain points. It's not just for the sake of automation. The automation comes to a purpose when we have a pain point. If we don't have a pain point, let's not force a solution, because otherwise we will be cannibalizing precious time that we can use for real problems, right? So just to keep that in mind, Tim, we are not trying to force solutions, whatever we see fit. It's just to try to solve the big problems that we are having. And if this is not a big problem, then we shouldn't be trying to forecast in a statistical way this, because it's not only a forecast. It's also a matter of where to get the information, right? So probably the forecast is going to be very simple to do. It's just to press a button run. We are going to get something that the real challenge for us and where we can lost a lot of time is trying to get the data on the system.

48:58 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) In this case. Alright, but I don't agree on this, but now currently you may find some gap. You know, OK, this system is not integrated by the DWS. Not enough data to forecast OK but in the future maybe some something will happen you know they may bring some other system where you will have all the data whatever you required or it may be the DWS may be in the future may be enhanced to get all the information. So let us not close this point now OK doing the forecasting or any proposal from the IBP for tie-in OK we'll keep it open OK. If there's anything best IBP can propose, we should still consider that. Because we want to use one system in the future, because we don't want to use somebody working in the Excel separately, and then uploading, and then someone is working in the IBP directly. We want everything to be happening directly, so that we will not miss the historical forecasts and those kind of stuff.

49:58 - Bastian Osorio That is clear, Dion, and I agree with you. But thinking about that, up to which point want to put in the system. For example, what I believe is a good idea, as Rahul mentioned, is to basically, they can load, of course, IVP can have an initial proposal, and then they can upload the forecast, okay? But in that sense, we won't have, thinking about that, we won't have the relationship between the tie-in materials and the drilling. Just will have a forecast per material without the relationship with the well. Is that something that you think is reasonable, is a good idea, or you absolutely need the well information and the BOM that links this you well and tie in materials.

50:58 - Unidentified Speaker I think Jaganath is on hold.

51:01 - Rahul Patel (ADNOC Group D&CS) Let's let's probably take a minute for him to join back. Yeah, also shake his phone.

51:11 - Hector Palacios (ADNOC Group D&CS) But Khalid, I I think.

51:15 - Rahul Patel (ADNOC Group D&CS) Yeah, it would be to start with the upload as the first step. Considering that there is not a lot of value in putting the forecast and everything.

51:29 - Khalid Sarfaraz (ADNOC Group D&CS) Let's see. See, my thing is we shouldn't be just making a concluding just now and you just need to discuss it and then internally and then you come up with your best proposal and then OK, there is no it's not always that we are going to solve a pain point or a sometimes we can suggest some improvement as well right it's not always the like you're looking forward for to solve the pain but there may be scenarios where you want

52:03 - Rahul Patel (ADNOC Group D&CS) to improve it more you want to optimize it so maybe we can use it to optimize it so yeah I understand your point but considering that we are finalizing our design we have two options like from what we are what is we can agree upon uploading. But if you want us to further look into proposing a solution, I think we'll need more details about the exact steps he's following, from where he's getting all the data, what project team is providing, from where the project team is getting the data. Right now, I don't think we have all this information to even propose from IBP how to automate the entire step. We've heard what he said, we've heard that he's doing manually but if we have to then like propose a solution from IBP we'll have so you are saying that in the demand is so the source of demand is missing right yes because yeah because DW does not have this information project team has this information see if we just forecast based based upon historical consumption it does not help him because anyway he will calculate an excellent and upload that as an input to compare with the historical consumption but if we have to come up with a demand which is better than what you are what he's doing today we need to understand entire thing is doing which means we'll have to spend time understanding all these things and after doing that the benefit what we are trying to see is not in line with what we are discussing right so that's the point we are trying to make that if we put all this effort understanding everything right from the project team to the to the to the dws data to to IBP, and if users are able to do the entire thing in 15, 20 minutes and are getting the forecasting accuracy they need, then the effort required to put everything together and the counter benefit is not something which is providing the value we are looking for.

54:04 - Vignesh Perumal (ADNOC Group D&CS) So what you are trying to say is that the IBP tool generally be used primarily so that the demand module will not be utilized over here and only the inventory module will be used. So Shaik will probably get this forecast and all this information from outside the system and then he can feed it inside the system. This is what you're trying to say Rahul?

54:27 - Rahul Patel (ADNOC Group D&CS) Yeah that's what I'm trying to say that demand would be uploaded as an input to IPP. We will have the visibility of say demand across like you will have visibility of the entire demand and then we can use this demand to have the centralized inventory and supply planning to make sure we optimize inventory based upon

54:51 - Vignesh Perumal (ADNOC Group D&CS) the demand and then create system proposals from IVP for procurement. So what this will automate is, as per your suggestion now, the task that the and his team manually doing by checking the required quantity versus the on-hand and then the beyond. This is the part that you can sort of show it in the system. They use tracking sheets right now to calculate the quantity. This is the part that you can do. But you are trying to say that in order for the forecast model to be defined and to be more accurate, you are saying that you do not have enough input at this point of time. This is what you're trying to say?

55:38 - Rahul Patel (ADNOC Group D&CS) The only input we have is historical consumption. We can use that to forecast, but that will not create a value which we are looking for from an improvement what IBP can do. Now, I think the real improvement comes if all the systems are from start to end, if there is data available, and then we make the decision. The entire process of forecasting is automated, but that something is not available today, which can be done eventually. For the purpose of this project. See, this is not that the only time you will have anything in IBP, right? We'll try to add as much as the solution possible. But once IBP is live, you can further also improve the processes, right? It's not that this is the only process which will be part of IBP. So we can start with uploading the demand, utilize supply and inventory planning modules for time. And then as we have more clarity in the future, like AdNoc can then, incorporate interface those tools later and then enhance IVP to calculate the entire time demand as if more data is available later in the future but okay

56:45 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) But at least what how the the forecast is planned in the excel okay by putting the percentage like 40 percent 60 percent based on the experience you know consumption. The same we wanted to be developed in IBM. Why? Because we are getting the update on quarterly basis. Okay. But you know within this three months of gap there are many changes are happening which is not communicated to the inventory. Okay. Because even the planner also because it is a long process they have to prepare the excel sheet and then they will get the memo prepared and then they will issue to them. So that's why even though if there any major changes or minor changes. It is not properly communicate to the inventory, but if the same thing what is happening, I mean manual planning, whatever the shake is doing, we want this to be developed in IBP itself. So if there is any change changes, even not, we don't have to wait until quarterly basis. It will be immediately known by the inventory controller. So these are the changes are done so he can. He can change the deliveries or he can place more orders on So.

57:56 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) How do the changes come automatically? Changes will come only when I enter manually, right? Yes, yes, you have to enter it so that you know the same thing, no? Because look, we will not be revising the forecast every monthly basis and keeping on changing any major.

58:12 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) No, no, if there's any major changes. Say for example they they prebound additional 1010 wells time. In some of the quarter. So you will know. There are some people so that we the material may be more so. Shake you don't have to worry about this because the design and this development will be done by the contractor. We just tell them how we are doing in the planning. I mean using the Excel sheet. The same thing will be replica in the IBP. What do you do in Excel?

58:45 - Rahul Patel (ADNOC Group D&CS) You do it in IBP, that's all. So so what you're proposing Jaganath is to replace the manual Excel sheet through IBP Excel sheet so that whenever he does the working, the information is available real time in IBP.

59:05 - Unidentified Speaker Correct.

59:05 - Rahul Patel (ADNOC Group D&CS) Bastian, Hector, any thoughts on this requirement of manual Excel sheet?

59:12 - Hector Palacios (ADNOC Group D&CS) The manual Excel, if you need to create a template just to upload information. That's not an issue. It should be simple. The only point I think is more process related is the frequency in which we are putting these adjustments, maybe to the big gaps or big changes, as Jaga is saying. So far I understand you were mentioning that we are updating this quarterly-based. Is that correct, or are you doing ad hoc changes as well in the middle?

59:47 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) No, no, by quarterly basis only we make changes.

59:50 - Rahul Patel (ADNOC Group D&CS) But yeah, this other not saying that while the quarterly changes are done, but if if the system and Excel are same thing, then if there are any like changes in between, those can also get communicated. Not no need to wait till the quarter end because the inventory team will have a front visibility of changes and probably they can take better decisions for planning the inventory.

1:00:15 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) the major changes are communicated in between only. We don't wait for the quarterly. If there's a major change, it's a company requirement, right? I don't wait until the quarterly to use the major changes exactly.

1:00:25 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) See you don't have to communicate. Open a separate channel to communicate to the inventory. If you do the changes in IBP itself, it will be automatically known by the inventory controller. You don't have to communicate with them. This and that has been changed. So we do this and so that one. Inventory controller. You do the weekly review. Changes if there any changes okay even you can take a weekly snapshot of short of the forecast you can compare it okay because the IVP have the intelligence to do those things actually okay if we see that there is

1:00:59 - Murugan Kaliaperumal (ADNOC - PE&ICV) any major changes then you can change the decision also you know management has decided to have all the demand forecast in a specific tool, be it chemical, drilling material or MRO products or even project materials. So they want to have a track in one tool. That's why this tool has been planned to purchase and implement. So we have already had sessions with chemical related, all companies, all 10 companies are procuring chemicals and drilling, of course, four companies are buying drilling we are discussing on the chapter of tie-in material. So it is always good to have limiting it across all processes as per manager expectation. We need to see if there is any challenge, try to find out the challenge and try to resolve the challenge. But we don't have a per se to go back and management for example. We would like to do it manually in future as well.

1:02:05 - Bastian Osorio That is clear. Just to be on the same page, we are thinking about loading the forecast, comparing of course with available stock, but we are not showing in IVP the relationship between the drilling, the well, and the the forecast. It's just a forecast per material, not per well. Are we in the same page or there's any disagreement on this regard?

1:02:40 - Hector Palacios (ADNOC Group D&CS) I think that Murugo was referring only to the availability of the forecast on the system.

1:02:50 - Bastian Osorio So if we are running through so then we are good so per material no no in at this point no no relationship between the well well type in the the tie-in materials there is no connection between the dws but

1:03:12 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) of course yeah the tie-in also will have its own basket of materials based on the The well type I mean whether it's a oil producer or water injector. That should be provided by the inducer. I mean the planner. So which material I mean well type will the BOM.

1:03:42 - Murugan Kaliaperumal (ADNOC - PE&ICV) Maybe I I still thought that the shake proposal. Let's see. I think even in IBP, your input templates will be Excel only. Correct me, team. You don't have a screen to enter your requirements. Your demand inputs are in a specific template agreed with you. And the same template will be used to load any number of times you make the change, you make a plan. So the template will always be in Excel, which means you're still working on Excel platform. And then the data is loaded to IBP and captured in IBP. Correct, team?

1:04:18 - Unidentified Speaker That's correct.

1:04:18 - Murugan Kaliaperumal (ADNOC - PE&ICV) Yeah, so you might not know face a difference within your working culture, however. The demand is all centrally captured in one place and the forecast is very much used. I think Mr. Duggan was explaining to change something on the faster phase. It clearly says either if you reduce your demand or increase your demand, clearly says the available PO for this period we need to take immediate action or the available PO is in excess if we can use it for another plan which another colleagues gives or another company gives so this will be more useful for us to like like plan what is there in the purchase order to come whether we need to increase it or to reduce it or some cases we can even delay if we have provision with the supplier So these kind of purchasing planning activities can be done by the team faster. And within one platform, it gives you data.

1:05:23 - Bastian Osorio It's clear. It's clear, and it's something that can be addressed for sure. Question, because it was mentioned that we are working, Shaik, with 10 bombs. In terms of material, how many materials are you planning currently? 500, 600? 100 like, 8 more than 800 like 800.

1:05:44 - Rahul Patel (ADNOC Group D&CS) Yeah, yeah, yeah, so can we summarize what we are agreeing to for drilling so that everyone is for tying sorry so that everyone is on the same page so I have a doubt sorry now uh so basically uh shake

1:06:23 - Arun Tejnarayan (ADNOC Group D&CS) has shown us you know the excel sheet uh about the forecast um and how this forecast has been translated and transferred to you know uh the inventory team so uh do we have that kind of you know the presentation in the near future or like,

1:06:40 - Unidentified Speaker Is it?

1:06:41 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) We can plan now. Another session to discuss in detail here.

1:06:47 - Arun Tejnarayan (ADNOC Group D&CS) So so then that's so how many business functions are involved in time? Like how many teams are involved? Only one team onshore team and then the planning team. Onshore and planning.

1:07:02 - Unidentified Speaker OK.

1:07:03 - Rahul Patel (ADNOC Group D&CS) okay understood so so to summarize and have a follow-up action let's let's agree on some of the things one thing is that we will use excel templates for capturing the demand in ibp and then this excel template would be used as an input to supply planning and inventory planning so that we can have visibility Now, when it comes to capture and demand in IBP, Jagannath, you are expecting us to give the forecast based upon historical consumption at this point of time. And based upon the forecast, if required, Shaik can utilize that forecast to check with percentages changes with the forecast. You want us to configure the percentage field, which means he can refer to the forecast and adjust percentages so that the demand can be changed based upon the percentage allocation to the forecast.

1:07:59 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Yeah, we need to have the forecast OK based on the consumption. But the proposal from IBP and also to generate the quantity for the next three years. How the shake is working on the percentages and all the same future also should be built in the IBP. So instead of reviewing the OK, reviewing the proposal is one thing under the other thing what you can do. You can put the percentage and then see maybe it for to take the quick decision you know. Generate the forecast based on how he is doing now. Putting the percentage and all the same features will be built in the IVP so that he can compare. You know, instead of going into each and every line item, he can compare quickly and then he can release which one is best.

1:08:46 - Mohammed Ashic (ADNOC Onshore - PD) OK. So we have that and so we have that alternate also for some item. Maybe you might have different enders. You may have a little bit same and little bit site variation description, right? So you might have multiple one or two item for the same.

1:09:03 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Yeah, there are some alternatives also there for some of the items. Yes, so we have to consider similar to that to drilling for this, right? For correct, correct, correct. Will do when do the detailed planning.

1:09:16 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) I mean, yeah, so we need to.

1:09:18 - Rahul Patel (ADNOC Group D&CS) Yeah, we need to note down this as well. We have alternate. Yeah. OK. Then. Bastian, Hector, Arun, do you need a follow-up discussion to detail out the steps of demand or what we've discussed is good enough for now? For now, yes. I guess that for the documentation is okay.

1:09:37 - Hector Palacios (ADNOC Group D&CS) Then of course, later when we start developing phase, probably we will want to have more sessions to show what we have, to understand if we are missing something and so on. But for now, I got to wrong guys missing that for documenting we are again.

1:09:56 - Rahul Patel (ADNOC Group D&CS) Uh, shake will it be possible for you to share the the Excel sheet what you have shared today? So that we we can also have a look at those Excel sheets while we are looking into the solution.

1:10:13 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Yeah, I'll give the one for JV and ASAP which we have been doing right now. Also the bill of materials if you can share a bill of material there in that Excel sheet itself there in the Excel sheet version the forecast sheet itself you can find the bill of materials.

1:10:30 - Rahul Patel (ADNOC Group D&CS) Also if in that mail or note if you can quickly put up a steps on how you assign the bill of material to the based upon what all parameters you use it would be helpful to know I at

1:10:42 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) this point of time we may not use all those parameters but it's if you can have a percentage is there against the item also that in percentage can be taken as the historical percentage to be considered actually in the forecast sheet in the excel itself I have put the percentage against how much person like well number is that for this particular type of well how much percentage has to be considered for this particular bill of metal I have

1:11:05 - Rahul Patel (ADNOC Group D&CS) mentioned that in the forecast itself okay okay so if that should be sufficient as a base plan yeah so if you can share that then we will we'll have a look at that excel sheet and we'll review and if

1:11:16 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) you need anything probably will get back to you then yeah okay and regarding the new requirements as I said no some new requirements have come for time materials like one time program one time program is going to replace the existing ones so there will not be any historical consumption for these things it's totally a new design but I will have the MTO and the type of words to become but I don't have it at this stage but that will be how it will be done of in the future.

1:11:48 - Unidentified Speaker So how? Yes, yes.

1:11:52 - Khalid Sarfaraz (ADNOC Group D&CS) We lost you, Rahul. Rahul, you are on mute.

1:12:02 - Unidentified Speaker I don't know. Nothing happened.

1:12:07 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Rahul is just having a having technical difficulties with his microphone.

1:12:16 - Unidentified Speaker Probably he can use yours, Fakhoury, if he is there. Let's let him.

1:12:24 - Khalid Sarfaraz (ADNOC Group D&CS) We can conclude. Hello, can you hear me?

1:12:29 - Unidentified Speaker Yeah, I can hear you now. Yeah, OK.

1:12:34 - Kunal Sheth (ADNOC Group D&CS) I think there was some issue. There is some issue on my laptop. So yes. If you can share those Excel sheets, we'll have a look at it. And then if it requires follow-up discussion, we can plan for follow-up discussion. But I think at this point of time, we are in alignment with what we've discussed.

1:12:59 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) And we'll use this discussion as a reference to define the process for time.

1:13:05 - Unidentified Speaker OK.

1:13:05 - Khalid Sarfaraz (ADNOC Group D&CS) OK. All right. Thank you.

1:13:07 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Thank you. Thank you. Thank you. Thank you, everyone.

1:13:12 - Unidentified Speaker Well, I appreciate it.
